Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Aaron Civale,ATH,"SP,RP",124.2,107,7,0,4.71,1.32,65,124,40,20,23,23,8,0,107,0.8615136876,,107,4,-1.049912515,159,-22,,,,,
Michael Lorenzen,COL,"SP,RP",143.1,114,6,0,5.1,1.45,81,154,52,24,26,26,10,0,107,0.7477288609,,107,2,-1.049912515,245,-107,,,,,
Logan Henderson,MIL,SP,96.9,99,6,0,4.16,1.22,45,87,30,15,27,16,6,0,106,1.093911249,,106,5,-1.077692572,,139,,,,,
Jake Irvin,WSH,SP,121.4,89,6,0,4.86,1.36,65,126,40,20,30,20,8,0,106,0.8731466227,,106,5,-1.077692572,212,-72,,,,,
Chris Paddack,MIA,"SP,RP",130.9,99,6,0,4.77,1.32,69,139,34,22,31,23,8,0,105,0.8021390374,,105,5,-1.105472628,260,-119,,,,,
Jose Quintana,COL,SP,140.1,96,7,0,5.1,1.5,79,156,55,20,25,25,10,0,104,0.7423269094,,104,3,-1.133252685,228,-86,,,,,
Luis Gil,NYY,SP,102.3,101,6,0,4.36,1.34,50,87,50,14,38,14,5,0,103,1.00684262,,103,7,-1.161032742,65,78,,,,,
Lucas Giolito,,SP,116.5,105,7,0,4.65,1.37,60,114,46,18,24,21,8,0,103,0.8841201717,,103,0,-1.161032742,146,-2,,,,,
Hunter Greene,CIN,SP,87.6,107,6,0,3.69,1.12,36,70,28,12,16,15,4,1,101,1.152968037,,101,5,-1.216592855,34,111,,,,,
Bryce Elder,ATL,SP,117.6,96,7,0,4.57,1.38,60,122,40,15,25,20,7,0,101,0.8588435374,,101,5,-1.216592855,#N/A,#N/A,,,,,
Randy Vasquez,SD,SP,129,87,6,0,4.86,1.41,70,135,47,19,30,24,8,0,101,0.7829457364,,101,4,-1.216592855,,147,,,,,
Richard Fitts,STL,SP,117.3,90,6,0,4.52,1.34,59,119,38,17,30,21,7,0,100,0.852514919,,100,6,-1.244372912,,148,,,,,
Luis Morales,ATH,SP,114,101,6,0,4.58,1.36,58,108,46,18,27,20,7,0,98,0.8596491228,,98,5,-1.299933025,#N/A,#N/A,,,,,
Jared Jones,PIT,SP,93.9,95,6,0,3.96,1.24,41,85,32,12,21,17,6,0,98,1.043663472,,98,5,-1.299933025,57,93,,,,,
Michael Soroka,ARI,"SP,RP",93.3,93,5,2,4.12,1.26,43,84,34,12,41,11,5,0,98,1.050375134,,98,6,-1.299933025,254,-103,,,,,
Mick Abel,MIN,SP,110.7,100,6,0,4.63,1.42,57,107,50,15,28,20,7,0,96,0.8672086721,,96,6,-1.355493138,#N/A,#N/A,,,,,
Johan Oviedo,BOS,SP,96,92,5,0,4.3,1.34,46,87,41,12,32,15,5,0,96,1,,96,5,-1.355493138,,153,,,,,
Max Scherzer,TOR,SP,100.6,96,6,0,4.41,1.22,49,95,28,18,28,17,6,0,95,0.944333996,,95,7,-1.383273195,128,26,,,,,
Taijuan Walker,PHI,"SP,RP",116.1,82,6,0,5.01,1.43,65,123,43,19,39,17,7,0,95,0.8182601206,,95,5,-1.383273195,,155,,,,,
Kyle Harrison,MIL,"SP,RP",91.2,91,5,0,4.22,1.31,43,84,36,13,28,15,4,0,94,1.030701754,,94,6,-1.411053251,141,15,,,,,
Justin Steele,CHC,SP,85.3,80,6,0,3.58,1.18,34,78,23,9,16,15,4,0,93,1.090269637,,93,6,-1.438833308,48,109,,,,,
Brad Lord,WSH,"SP,RP",98.6,78,5,0,4.38,1.34,48,99,34,12,40,13,6,0,92,0.9330628803,,92,6,-1.466613365,#N/A,#N/A,,,,,
Andrew Painter,PHI,SP,106.4,93,6,0,4.66,1.37,55,107,39,17,27,19,6,0,91,0.8552631579,,91,6,-1.494393421,142,17,,,,,
Hunter Barco,PIT,"SP,RP",87.7,81,5,0,4.14,1.34,40,81,37,10,35,12,4,0,91,1.037628278,,91,6,-1.494393421,#N/A,#N/A,,,,,
German Marquez,SD,SP,117.7,87,6,0,5.09,1.43,67,127,41,19,26,22,8,0,90,0.7646559048,,90,5,-1.522173478,,161,,,,,
Rhett Lowder,CIN,SP,105.9,82,5,0,4.57,1.35,54,109,35,15,27,19,6,0,89,0.8404154863,,89,6,-1.549953534,164,-2,,,,,
Joe Boyle,TB,"SP,RP",81.4,90,5,0,4.06,1.35,37,67,44,9,27,13,5,0,89,1.093366093,,89,7,-1.549953534,,163,,,,,
Spencer Schwellenbach,ATL,SP,72.1,69,5,0,3.52,1.12,28,65,15,8,12,12,3,0,88,1.220527046,,88,6,-1.577733591,36,128,,,,,
Ryan Weiss,HOU,SP,85.9,83,5,0,4.32,1.32,41,80,33,12,36,10,5,0,88,1.024447031,,88,5,-1.577733591,#N/A,#N/A,,,,,
Kumar Rocker,TEX,SP,94.9,85,5,0,4.23,1.29,45,92,31,12,28,16,6,0,87,0.9167544784,,87,5,-1.605513648,125,41,,,,,
Chase Dollander,COL,SP,117,101,5,0,5.33,1.51,69,123,53,18,23,23,9,0,87,0.7435897436,,87,4,-1.605513648,,167,,,,,
Tomoyuki Sugano,COL,SP,118.4,76,6,0,5.22,1.43,69,139,30,21,22,22,9,1,87,0.7347972973,,87,5,-1.605513648,127,41,,,,,
Lance McCullers Jr.,HOU,SP,97.9,95,5,0,4.55,1.44,49,92,49,13,27,18,6,0,86,0.8784473953,,86,6,-1.633293704,,169,,,,,
Spencer Arrighetti,HOU,SP,86,86,5,0,4.59,1.37,44,80,38,13,24,14,5,0,84,0.976744186,,84,7,-1.688853818,87,83,,,,,
Griffin Canning,SD,SP,97.7,86,5,0,4.48,1.35,49,95,37,15,27,17,6,0,84,0.8597748209,,84,6,-1.688853818,209,-38,,,,,
Janson Junk,MIA,"SP,RP",84.5,61,5,0,4.28,1.28,40,89,19,11,38,10,4,0,82,0.9704142012,,82,6,-1.744413931,#N/A,#N/A,,,,,
Ryan Feltner,COL,SP,102.9,83,4,0,5.17,1.5,59,111,44,15,28,17,7,0,82,0.7968901846,,82,6,-1.744413931,261,-88,,,,,
Robert Gasser,MIL,SP,75.2,71,4,0,3.97,1.24,33,70,24,10,34,9,4,0,81,1.07712766,,81,7,-1.772193988,#N/A,#N/A,,,,,
Erick Fedde,CWS,"SP,RP",107.1,78,5,0,4.98,1.43,59,111,42,17,24,18,7,0,81,0.756302521,,81,5,-1.772193988,119,56,,,,,
Hunter Dobbins,STL,SP,84.5,63,4,0,4.42,1.36,41,86,28,10,25,13,5,0,80,0.9467455621,,80,7,-1.799974044,#N/A,#N/A,,,,,
Brandon Sproat,MIL,SP,79.6,67,4,0,4.22,1.33,37,75,31,9,27,12,4,0,79,0.9924623116,,79,8,-1.827754101,256,-79,,,,,
Patrick Sandoval,BOS,SP,78.4,72,4,0,4.11,1.39,36,76,33,8,38,9,4,0,79,1.007653061,,79,6,-1.827754101,#N/A,#N/A,,,,,
Robby Snelling,MIA,SP,80.5,71,5,0,4.16,1.34,37,79,29,10,15,15,5,0,78,0.9689440994,,78,7,-1.855534157,#N/A,#N/A,,,,,
Jonathan Cannon,CWS,"SP,RP",92.9,69,4,0,4.91,1.41,51,98,33,14,31,13,6,0,77,0.8288482239,,77,6,-1.883314214,271,-91,,,,,
Josiah Gray,WSH,SP,95.7,82,5,0,4.94,1.4,53,94,40,16,18,17,7,0,76,0.7941483804,,76,7,-1.911094271,#N/A,#N/A,,,,,
Tyler Anderson,,SP,94.8,74,5,0,4.88,1.42,51,97,38,16,20,17,7,0,76,0.8016877637,,76,0,-1.911094271,222,-40,,,,,
Patrick Corbin,,SP,94.1,75,5,0,4.85,1.42,51,102,32,14,20,17,7,0,76,0.8076514346,,76,0,-1.911094271,248,-65,,,,,
J.T. Ginn,ATH,"SP,RP",74.1,69,4,0,4.24,1.32,35,72,26,9,29,10,4,0,74,0.9986504723,,74,6,-1.966654384,#N/A,#N/A,,,,,
Jose Urquidy,PIT,RP,86,65,4,0,4.87,1.35,47,89,27,13,29,13,6,0,73,0.8488372093,,73,7,-1.994434441,#N/A,#N/A,,,,,
Cody Bradford,TEX,SP,69.7,60,4,0,4.18,1.19,32,67,16,11,32,8,4,0,71,1.018651363,,71,6,-2.049994554,161,25,,,,,
Caden Dana,LAA,SP,90,78,4,0,5.04,1.44,50,89,40,16,17,17,7,0,71,0.7888888889,,71,5,-2.049994554,274,-87,,,,,
Brandon Williamson,CIN,SP,76.1,63,4,0,4.88,1.39,41,77,29,12,28,10,4,0,66,0.8672798949,,66,7,-2.188894837,#N/A,#N/A,,,,,
Charlie Morton,,"SP,RP",77.3,78,4,0,4.79,1.46,41,76,37,12,16,15,5,0,66,0.8538163001,,66,0,-2.188894837,144,45,,,,,
Trevor McDonald,SF,"SP,RP",70.2,55,4,0,4.33,1.36,34,71,25,8,27,9,4,0,65,0.9259259259,,65,6,-2.216674894,#N/A,#N/A,,,,,
Stephen Kolek,KC,SP,71.1,50,4,0,4.34,1.37,34,75,23,7,31,9,4,0,65,0.9142053446,,65,6,-2.216674894,#N/A,#N/A,,,,,
Payton Tolle,BOS,"SP,RP",50.2,53,3,0,4.1,1.25,23,45,17,7,23,6,2,0,55,1.09561753,,55,7,-2.49447546,#N/A,#N/A,,,,,
Hurston Waldrep,ATL,SP,58.5,50,4,0,4.41,1.42,29,57,26,7,11,11,4,0,54,0.9230769231,,54,7,-2.522255516,,193,,,,,
David Festa,MIN,SP,49.9,50,3,0,4.19,1.28,23,46,18,7,18,8,3,0,54,1.082164329,,54,7,-2.522255516,158,36,,,,,
Alek Manoah,LAA,SP,70,59,3,0,4.98,1.42,39,69,30,11,13,13,5,0,54,0.7714285714,,54,6,-2.522255516,#N/A,#N/A,,,,,
Ryan Bergert,KC,SP,58.8,49,3,0,4.74,1.4,31,58,24,8,23,9,3,0,53,0.9013605442,,53,7,-2.550035573,#N/A,#N/A,,,,,
JP Sears,SD,SP,54.3,46,3,0,4.55,1.27,27,53,16,10,20,8,3,0,52,0.9576427256,,52,7,-2.57781563,217,-20,,,,,
Marcus Stroman,,SP,58.5,42,4,0,4.65,1.44,30,61,23,7,13,11,4,0,52,0.8888888889,,52,0,-2.57781563,151,47,,,,,
Connelly Early,BOS,SP,44.8,46,3,0,3.72,1.28,19,40,18,4,15,7,2,0,51,1.138392857,,51,8,-2.605595686,#N/A,#N/A,,,,,
Corbin Burnes,ARI,SP,44.1,40,3,0,3.68,1.22,18,40,14,5,7,7,2,0,50,1.133786848,,50,7,-2.633375743,6,194,,,,,
Jordan Montgomery,TEX,SP,51,40,3,0,4.47,1.34,25,52,16,7,15,8,3,0,49,0.9607843137,,49,7,-2.6611558,183,18,,,,,
Walker Buehler,SD,SP,54.6,43,3,0,4.93,1.43,30,56,22,9,21,8,4,0,47,0.8608058608,,47,8,-2.716715913,92,110,,,,,
Alex Cobb,,SP,42.1,35,3,0,4.09,1.31,19,41,14,4,12,7,3,0,45,1.06888361,,45,0,-2.772276026,199,4,,,,,
Andrew Alvarez,WSH,SP,49.4,36,2,0,4.36,1.4,24,50,19,5,25,6,3,0,45,0.9109311741,,45,8,-2.772276026,#N/A,#N/A,,,,,
Tanner Gordon,COL,SP,56.7,41,3,0,5.34,1.42,34,67,14,11,24,7,4,0,45,0.7936507937,,45,7,-2.772276026,#N/A,#N/A,,,,,
Gunnar Hoglund,ATH,SP,48.6,37,2,0,4.9,1.36,26,51,15,8,22,6,3,0,43,0.8847736626,,43,7,-2.827836139,#N/A,#N/A,,,,,
Jason Alexander,HOU,"SP,RP",48.2,37,2,0,4.63,1.39,25,50,17,7,22,6,3,0,43,0.8921161826,,43,8,-2.827836139,#N/A,#N/A,,,,,
George Klassen,LAA,SP,46.3,44,2,0,4.62,1.42,24,45,21,6,19,7,3,0,42,0.9071274298,,42,7,-2.855616196,#N/A,#N/A,,,,,
Jon Gray,,RP,45.6,40,3,0,4.48,1.31,23,45,15,7,10,8,3,0,41,0.899122807,,41,0,-2.883396253,191,18,,,,,
Carson Whisenhunt,SF,SP,43.6,34,2,0,4.45,1.38,22,44,16,6,16,7,2,0,40,0.9174311927,,40,7,-2.911176309,#N/A,#N/A,,,,,
Quinn Mathews,STL,SP,43.8,40,2,0,4.54,1.53,22,41,27,5,9,9,3,0,38,0.8675799087,,38,8,-2.966736423,171,40,,,,,
Jonah Tong,NYM,SP,30.8,34,2,0,3.59,1.25,12,25,13,3,11,5,2,0,37,1.201298701,,37,7,-2.994516479,#N/A,#N/A,,,,,
Gage Jump,ATH,SP,39.7,33,2,0,4.4,1.34,19,39,14,6,8,8,2,0,37,0.9319899244,,37,8,-2.994516479,#N/A,#N/A,,,,,
River Ryan,LAD,SP,43.1,36,2,0,4.51,1.38,22,42,17,6,13,8,2,0,36,0.8352668213,,36,7,-3.022296536,#N/A,#N/A,,,,,
Drew Thorpe,CWS,SP,43.8,34,2,0,4.72,1.37,23,44,16,7,9,8,3,0,36,0.8219178082,,36,7,-3.022296536,,215,,,,,
Tanner McDougal,CWS,SP,36.4,31,2,0,4.67,1.44,19,35,17,5,14,6,2,0,33,0.9065934066,,33,8,-3.105636706,#N/A,#N/A,,,,,
Clarke Schmidt,NYY,SP,28.3,26,2,0,3.95,1.24,12,25,10,4,12,4,1,0,32,1.130742049,,32,8,-3.133416762,90,127,,,,,
Martin Perez,ATL,SP,40.4,31,2,0,4.71,1.42,21,42,15,5,7,7,2,0,32,0.7920792079,,32,8,-3.133416762,,218,,,,,
Nestor Cortes Jr.,,SP,32.8,30,2,0,4.52,1.28,16,31,11,6,6,6,2,0,31,0.9451219512,,31,0,-3.161196819,108,111,,,,,
Jose Urena,,"SP,RP",39.2,26,2,0,4.94,1.53,22,43,18,7,12,5,2,0,30,0.7653061224,,30,0,-3.188976876,#N/A,#N/A,,,,,
Spencer Turnbull,,"SP,RP",35.9,28,2,0,4.9,1.47,20,37,15,5,10,6,3,0,28,0.7799442897,,28,0,-3.244536989,,221,,,,,
Wade Miley,,SP,32.7,21,2,0,4.85,1.45,18,35,12,5,8,6,3,1,27,0.8256880734,,27,0,-3.272317045,#N/A,#N/A,,,,,
Cade Povich,BAL,SP,25.8,25,1,0,4.22,1.31,12,25,9,4,12,3,2,0,26,1.007751938,,26,7,-3.300097102,232,-9,,,,,
Thomas White,MIA,SP,26.3,27,1,0,4.23,1.41,12,24,14,3,5,5,2,0,25,0.9505703422,,25,8,-3.327877159,#N/A,#N/A,,,,,
JR Ritchie,ATL,SP,26.2,22,2,0,4.59,1.39,13,26,11,3,5,5,1,0,24,0.9160305344,,24,9,-3.355657215,#N/A,#N/A,,,,,
McCade Brown,COL,SP,26.7,25,1,0,5.21,1.47,15,27,12,4,9,4,2,0,23,0.861423221,,23,8,-3.383437272,#N/A,#N/A,,,,,
Sam Aldegheri,LAA,SP,30.2,23,1,0,5.33,1.54,18,32,15,5,8,5,2,0,22,0.7284768212,,22,8,-3.411217329,#N/A,#N/A,,,,,
Bowden Francis,TOR,SP,22,20,1,0,4.51,1.28,11,21,8,5,5,5,1,0,21,0.9545454545,,21,8,-3.438997385,80,148,,,,,
Jose De Leon,,"SP,RP",29.2,28,1,1,5.24,1.61,17,30,18,5,6,6,2,0,21,0.7191780822,,21,0,-3.438997385,#N/A,#N/A,,,,,
David Davalillo,TEX,SP,16.3,15,1,0,3.86,1.23,7,14,7,2,4,4,1,1,19,1.165644172,,19,8,-3.494557498,#N/A,#N/A,,,,,
Winston Santos,TEX,SP,16.6,20,1,0,4.33,1.38,8,15,8,3,4,4,1,0,18,1.084337349,,18,9,-3.522337555,#N/A,#N/A,,,,,
Thomas Harrington,PIT,"SP,RP",23,17,1,0,4.74,1.38,12,24,8,3,10,4,2,0,18,0.7826086957,,18,8,-3.522337555,268,-36,,,,,
Dane Dunning,SEA,"SP,RP",16.5,14,1,0,4.39,1.32,8,16,6,2,8,2,1,0,17,1.03030303,,17,6,-3.550117612,#N/A,#N/A,,,,,
Noah Schultz,CWS,SP,22.2,19,1,0,4.68,1.45,12,22,10,3,4,4,2,0,17,0.7657657658,,17,9,-3.550117612,206,28,,,,,
Tanner Houck,BOS,SP,17.2,14,1,0,4.43,1.35,8,17,6,2,7,2,1,0,17,0.988372093,,17,9,-3.550117612,81,154,,,,,
Austin Gomber,TEX,SP,18.4,14,1,0,4.74,1.33,10,19,5,3,6,3,2,0,16,0.8695652174,,16,10,-3.577897668,220,16,,,,,
Mitch Farris,LAA,SP,21.4,20,1,0,5.01,1.49,12,21,11,3,4,4,2,0,16,0.7476635514,,16,9,-3.577897668,#N/A,#N/A,,,,,
Jurrangelo Cijntje,STL,SP,16.6,13,1,0,4.62,1.45,9,17,8,3,4,4,1,0,16,0.9638554217,,16,9,-3.577897668,#N/A,#N/A,,,,,
Hagen Smith,CWS,SP,16.1,16,1,0,4.57,1.48,8,14,10,2,3,3,1,0,15,0.9316770186,,15,10,-3.605677725,,239,,,,,
Tink Hence,STL,SP,13.7,13,1,0,4.19,1.37,6,13,6,2,5,2,1,0,15,1.094890511,,15,10,-3.605677725,,240,,,,,
Tony Gonsolin,,SP,16.9,16,1,0,4.57,1.36,9,15,8,3,4,3,1,0,15,0.8875739645,,15,0,-3.605677725,153,88,,,,,
Didier Fuentes,ATL,SP,13.6,13,1,0,4.7,1.35,7,14,5,2,4,3,1,0,14,1.029411765,,14,10,-3.633457782,#N/A,#N/A,,,,,
Kohl Drake,ARI,SP,17.1,14,1,0,4.53,1.38,9,17,7,2,5,3,1,0,14,0.8187134503,,14,8,-3.633457782,#N/A,#N/A,,,,,
Ty Johnson,TB,"SP,RP",11.8,12,1,0,4.1,1.26,5,10,5,1,2,2,1,0,13,1.101694915,,13,8,-3.661237838,#N/A,#N/A,,,,,
Mitch Bratt,ARI,SP,13.6,10,1,0,4.38,1.29,7,14,4,2,4,3,1,0,13,0.9558823529,,13,9,-3.661237838,#N/A,#N/A,,,,,
Ben Kudrna,KC,SP,14.6,11,1,0,5.06,1.51,8,16,7,2,8,2,1,0,13,0.8904109589,,13,8,-3.661237838,#N/A,#N/A,,,,,
Cal Quantrill,TEX,SP,15.3,12,1,0,5.05,1.4,9,16,5,2,5,3,1,0,12,0.7843137255,,12,11,-3.689017895,,247,,,,,
Matt Waldron,SD,SP,15.3,12,1,0,4.99,1.38,9,16,5,2,4,3,1,0,12,0.7843137255,,12,9,-3.689017895,205,43,,,,,
Riley Cornelio,WSH,SP,14.8,11,1,0,5.26,1.53,9,16,7,2,8,2,1,0,12,0.8108108108,,12,9,-3.689017895,#N/A,#N/A,,,,,
Ethan Pecko,HOU,SP,10.9,10,1,0,4.13,1.38,5,10,6,2,3,3,1,0,11,1.009174312,,11,9,-3.716797951,#N/A,#N/A,,,,,
Carlos Carrasco,ATL,SP,12.2,9,1,0,5.31,1.49,7,14,5,2,3,3,1,0,11,0.9016393443,,11,11,-3.716797951,#N/A,#N/A,,,,,
Ky Bush,CWS,SP,14,10,1,0,5.12,1.52,8,14,7,2,4,3,1,0,11,0.7857142857,,11,11,-3.716797951,#N/A,#N/A,,,,,
Trey Gibson,BAL,SP,11.8,11,0,0,4.23,1.36,6,11,5,1,3,3,1,0,9,0.7627118644,,9,8,-3.772358065,#N/A,#N/A,,,,,
Jarlin Susana,WSH,SP,9,12,1,0,4.48,1.55,5,7,7,1,2,2,1,0,9,1,,9,10,-3.772358065,#N/A,#N/A,,,,,
Ben Hess,NYY,SP,9.3,9,1,0,4.34,1.39,5,9,5,2,2,2,1,0,9,0.9677419355,,9,9,-3.772358065,#N/A,#N/A,,,,,
Jean Cabrera,PHI,SP,11.8,8,0,0,4.88,1.47,6,12,5,1,3,3,1,0,9,0.7627118644,,9,7,-3.772358065,#N/A,#N/A,,,,,
Elvin Rodriguez,,RP,11.6,9,1,0,5.04,1.46,7,13,4,2,3,3,1,0,9,0.775862069,,9,0,-3.772358065,#N/A,#N/A,,,,,
Elmer Rodriguez,NYY,SP,8.9,8,0,0,4.05,1.36,4,9,3,1,6,1,0,0,8,0.8988764045,,8,10,-3.800138121,#N/A,#N/A,,,,,
Brody Hopkins,TB,SP,8.5,8,0,0,4.53,1.48,4,8,4,1,2,2,1,0,8,0.9411764706,,8,9,-3.800138121,#N/A,#N/A,,,,,
Lucas Braun,ATL,SP,7.8,7,1,0,4.05,1.22,4,7,3,1,2,2,0,0,8,1.025641026,,8,12,-3.800138121,#N/A,#N/A,,,,,
Cole Irvin,LAD,"SP,RP",10.6,7,0,0,4.87,1.38,6,12,3,2,2,2,1,0,7,0.6603773585,,7,8,-3.827918178,#N/A,#N/A,,,,,
Tommy Henry,ARI,RP,9,8,1,0,5.52,1.62,6,10,5,2,2,2,0,0,7,0.7777777778,,7,10,-3.827918178,#N/A,#N/A,,,,,
Tyler Uberstine,BOS,SP,9.3,8,0,0,4.65,1.37,5,9,3,1,3,2,1,0,7,0.752688172,,7,10,-3.827918178,#N/A,#N/A,,,,,
Jhonathan Diaz,SEA,RP,8.2,6,0,0,4.33,1.35,4,9,2,1,5,1,0,0,7,0.8536585366,,7,7,-3.827918178,#N/A,#N/A,,,,,
Pete Hansen,STL,SP,8.6,6,0,0,4.81,1.45,5,10,3,1,2,2,1,0,7,0.8139534884,,7,11,-3.827918178,#N/A,#N/A,,,,,
Marco Gonzales,SD,SP,8.3,6,0,0,4.89,1.43,4,9,3,1,2,2,1,0,7,0.843373494,,7,10,-3.827918178,#N/A,#N/A,,,,,
Sean Sullivan,COL,SP,8.6,6,0,0,5.27,1.42,5,10,3,1,2,2,1,0,7,0.8139534884,,7,9,-3.827918178,#N/A,#N/A,,,,,
Brandon Walter,HOU,SP,6.4,6,0,0,3.92,1.12,3,6,1,1,1,1,0,0,6,0.9375,,6,10,-3.855698235,#N/A,#N/A,,,,,
Jackson Jobe,DET,"SP,RP",7.7,6,0,0,4.57,1.41,4,7,4,1,3,1,0,0,6,0.7792207792,,6,6,-3.855698235,103,166,,,,,
Ben Lively,CLE,SP,7.5,6,0,0,4.82,1.34,4,8,3,2,2,2,1,0,6,0.8,,6,8,-3.855698235,200,70,,,,,
Yoniel Curet,PHI,SP,10.4,9,0,0,4.94,1.54,6,10,6,1,5,2,1,0,6,0.5769230769,,6,8,-3.855698235,#N/A,#N/A,,,,,
Casey Lawrence,SEA,RP,8.3,4,0,0,5.32,1.43,5,10,2,1,2,2,1,0,6,0.7228915663,,6,8,-3.855698235,#N/A,#N/A,,,,,
Christian MacLeod,MIN,SP,5.4,4,1,0,4.63,1.59,3,6,2,1,4,1,1,0,5,0.9259259259,,5,8,-3.883478291,#N/A,#N/A,,,,,
Carson Spiers,CIN,"SP,RP",6.6,5,0,0,5.07,1.51,4,7,3,1,2,1,0,0,5,0.7575757576,,5,8,-3.883478291,#N/A,#N/A,,,,,
Nathan Wiles,,RP,5.9,5,0,0,4.57,1.44,3,7,2,1,6,1,1,0,4,0.6779661017,,4,0,-3.911258348,#N/A,#N/A,,,,,
Joe Elbis,,SP,5.2,4,0,0,5.05,1.47,3,6,2,1,2,1,0,0,3,0.5769230769,,3,0,-3.939038405,#N/A,#N/A,,,,,
Mason Miller,SD,RP,65.3,101,4,33,2.51,0.99,18,40,25,6,63,0,2,0,0,0,,0,11,-4.022378574,25,252,,,,,
Edwin Diaz,LAD,RP,65,90,5,37,3.02,1.06,22,47,22,7,64,0,2,0,0,0,,0,9,-4.022378574,23,255,,,,,
Jhoan Duran,PHI,RP,66.5,77,5,32,2.88,1.12,21,54,21,5,68,0,3,0,0,0,,0,9,-4.022378574,47,232,,,,,
Andres Munoz,SEA,RP,62.8,79,4,32,2.91,1.12,20,45,25,5,63,0,3,0,0,0,,0,9,-4.022378574,45,235,,,,,
Cade Smith,CLE,RP,69,89,5,31,2.88,1.07,22,53,21,6,69,0,3,0,0,0,,0,9,-4.022378574,155,126,,,,,
David Bednar,NYY,RP,62.7,76,4,33,3.25,1.12,23,49,21,7,64,0,3,0,0,0,,0,11,-4.022378574,79,203,,,,,
Aroldis Chapman,BOS,RP,60,83,4,31,3,1.15,20,42,26,5,62,0,3,0,0,0,,0,11,-4.022378574,118,165,,,,,
