Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Devin Williams,NYM,RP,63.3,84,4,31,3.09,1.14,22,46,27,6,64,0,3,0,0,0,,0,8,-4.022378574,16,268,,,,,
Ryan Helsley,BAL,RP,62.8,71,4,28,3.5,1.21,24,52,23,7,62,0,3,0,0,0,,0,9,-4.022378574,26,259,,,,,
Raisel Iglesias,ATL,RP,64.8,69,4,27,3.62,1.14,26,56,17,8,66,0,3,0,0,0,,0,13,-4.022378574,29,257,,,,,
Jeff Hoffman,TOR,RP,62.6,75,4,26,3.63,1.17,25,50,23,8,64,0,3,0,0,0,,0,9,-4.022378574,70,217,,,,,
Josh Hader,HOU,RP,54.9,75,4,27,3.2,1.07,20,38,21,7,54,0,3,0,0,0,,0,11,-4.022378574,19,269,,,,,
Daniel Palencia,CHC,RP,64.1,73,4,30,3.64,1.24,26,53,27,7,63,0,3,0,0,0,,0,7,-4.022378574,#N/A,#N/A,,,,,
Pete Fairbanks,MIA,RP,60.1,62,3,26,3.55,1.21,24,52,21,6,61,0,3,0,0,0,,0,9,-4.022378574,83,207,,,,,
Carlos Estevez,KC,RP,63.7,57,3,31,4.23,1.27,30,58,23,8,64,0,4,0,0,0,,0,9,-4.022378574,97,194,,,,,
Emilio Pagan,CIN,RP,65.4,72,3,27,3.95,1.18,29,55,22,10,66,0,3,0,0,0,,0,10,-4.022378574,#N/A,#N/A,,,,,
Kenley Jansen,DET,RP,57.8,59,3,24,3.99,1.21,26,49,21,8,59,0,3,0,0,0,,0,7,-4.022378574,93,200,,,,,
Ryan Walker,SF,RP,62.5,66,4,25,3.49,1.2,24,55,20,6,62,0,3,0,0,0,,0,8,-4.022378574,49,245,,,,,
Trevor Megill,MIL,RP,62.5,76,4,17,3.43,1.17,24,51,23,7,62,0,3,0,0,0,,0,9,-4.022378574,73,222,,,,,
Dennis Santana,PIT,RP,66.4,61,4,24,3.93,1.26,29,61,23,7,66,0,3,0,0,0,,0,9,-4.022378574,,296,,,,,
Seranthony Dominguez,CWS,RP,61.4,69,3,20,3.9,1.29,27,51,28,8,64,0,4,0,0,0,,0,12,-4.022378574,264,33,,,,,
Abner Uribe,MIL,RP,69.3,81,4,17,3.12,1.2,24,53,31,5,69,0,3,0,0,0,,0,10,-4.022378574,,298,,,,,
Griffin Jax,TB,RP,66,83,4,16,3.02,1.08,22,53,19,6,67,0,3,0,0,0,,0,10,-4.022378574,110,189,,,,,
Bryan Abreu,HOU,RP,67.6,90,4,8,3.17,1.17,24,51,28,7,67,0,3,0,0,0,,0,12,-4.022378574,134,166,,,,,
Robert Suarez,ATL,RP,65.8,69,4,9,3.59,1.18,26,57,20,7,66,0,3,0,0,0,,0,14,-4.022378574,46,255,,,,,
Edwin Uceta,TB,RP,60.1,72,4,11,3.73,1.19,25,49,22,8,58,0,3,0,0,0,,0,11,-4.022378574,165,137,,,,,
Robert Garcia,TEX,RP,61.6,67,4,20,3.61,1.22,25,53,22,7,64,0,3,0,0,0,,0,12,-4.022378574,202,101,,,,,
Grant Taylor,CWS,RP,84.5,100,5,5,3.27,1.19,31,69,32,7,70,3,4,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Riley O'Brien,STL,RP,62.3,64,3,14,3.73,1.31,26,54,27,6,60,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Kirby Yates,LAA,RP,55.7,66,3,10,4.02,1.28,25,45,26,8,56,0,3,0,0,0,,0,10,-4.022378574,71,235,,,,,
Clayton Beeter,WSH,RP,61.7,71,3,16,3.9,1.34,27,50,33,7,56,0,3,0,0,0,,0,11,-4.022378574,#N/A,#N/A,,,,,
Will Vest,DET,RP,66.4,67,4,6,3.4,1.2,25,59,21,6,66,0,3,0,0,0,,0,8,-4.022378574,,308,,,,,
JoJo Romero,STL,RP,61.7,58,4,12,3.66,1.29,25,56,24,6,63,0,3,0,0,0,,0,13,-4.022378574,265,44,,,,,
Kevin Ginkel,ARI,RP,62.5,65,4,10,3.82,1.27,27,56,23,6,62,0,3,0,0,0,,0,11,-4.022378574,,310,,,,,
Robert Stephenson,LAA,RP,42.4,48,2,6,4.01,1.19,19,36,14,6,42,0,2,0,0,0,,0,11,-4.022378574,,311,,,,,
Kyle Finnegan,DET,RP,62.4,59,4,4,3.91,1.27,27,57,22,7,62,0,3,0,0,0,,0,9,-4.022378574,106,206,,,,,
Jeremiah Estrada,SD,RP,67.9,92,4,1,3.36,1.15,25,51,27,8,68,0,3,0,0,0,,0,12,-4.022378574,154,159,,,,,
Taylor Rogers,MIN,RP,58.2,61,3,16,4.12,1.34,27,53,25,7,60,0,3,0,0,0,,0,9,-4.022378574,,314,,,,,
Victor Vodnik,COL,RP,63,60,3,19,4.32,1.46,30,62,30,7,61,0,4,0,0,0,,0,10,-4.022378574,,315,,,,,
Paul Sewald,ARI,RP,57,57,3,12,4.43,1.25,28,52,19,9,58,0,3,0,0,0,,0,12,-4.022378574,168,148,,,,,
Tanner Scott,LAD,RP,63.3,72,4,4,3.55,1.22,25,52,25,7,63,0,3,0,0,0,,0,10,-4.022378574,63,254,,,,,
Lucas Erceg,KC,RP,61.7,59,4,4,3.79,1.28,26,56,23,6,61,0,4,0,0,0,,0,10,-4.022378574,69,249,,,,,
Garrett Cleavinger,TB,RP,63.1,78,4,7,3.41,1.15,24,49,24,7,66,0,3,0,0,0,,0,12,-4.022378574,,319,,,,,
Garrett Whitlock,BOS,RP,68,75,4,3,3.33,1.15,25,59,19,7,63,0,3,0,0,0,,0,12,-4.022378574,210,110,,,,,
Adrian Morejon,SD,RP,66.6,67,5,3,3.33,1.18,25,57,21,6,67,0,4,0,0,0,,0,13,-4.022378574,275,46,,,,,
Tony Santillan,CIN,RP,68.2,72,3,4,4.2,1.33,32,60,30,9,70,0,3,0,0,0,,0,11,-4.022378574,,322,,,,,
Matt Brash,SEA,RP,61.2,73,3,3,3.23,1.21,22,50,24,5,61,0,3,0,0,0,,0,10,-4.022378574,227,96,,,,,
Jose A. Ferrer,SEA,RP,67.8,64,4,3,3.25,1.17,24,60,19,5,67,0,3,0,0,0,,0,11,-4.022378574,,324,,,,,
Jacob Latz,TEX,"SP,RP",101.2,97,5,0,4.35,1.38,49,91,49,13,44,11,5,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Troy Melton,DET,"SP,RP",57.4,53,3,0,4.08,1.26,26,54,18,8,32,5,3,0,0,0,,0,10,-4.022378574,#N/A,#N/A,,,,,
Tyler Wells,BAL,SP,68.5,62,4,0,4.27,1.19,33,64,18,12,43,4,4,0,0,0,,0,10,-4.022378574,#N/A,#N/A,,,,,
Camilo Doval,NYY,RP,63.4,72,4,4,3.58,1.28,25,51,30,5,64,0,3,0,0,0,,0,12,-4.022378574,138,190,,,,,
Luke Weaver,NYM,RP,65.8,71,4,5,3.96,1.21,29,58,22,9,61,0,3,0,0,0,,0,9,-4.022378574,102,227,,,,,
Jordan Leasure,CWS,RP,62.8,70,3,5,4.18,1.29,29,53,28,9,64,0,4,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Alex Vesia,LAD,RP,62.1,78,4,2,3.58,1.16,25,47,25,9,64,0,3,0,0,0,,0,11,-4.022378574,179,152,,,,,
Hunter Harvey,CHC,RP,50.7,55,3,4,3.39,1.13,19,43,15,5,49,0,2,0,0,0,,0,8,-4.022378574,,332,,,,,
Tyler Rogers,TOR,RP,69.1,48,4,3,3.7,1.21,28,69,15,7,71,0,3,0,0,0,,0,10,-4.022378574,249,84,,,,,
Hunter Gaddis,CLE,RP,66.5,64,3,3,3.89,1.21,29,60,21,9,64,0,3,0,0,0,,0,10,-4.022378574,184,150,,,,,
Matt Strahm,KC,RP,63.4,69,4,2,3.57,1.13,25,53,19,8,63,0,3,0,0,0,,0,11,-4.022378574,147,188,,,,,
Brad Keller,PHI,RP,66.7,61,4,2,4.02,1.33,30,62,27,7,61,0,3,0,0,0,,0,10,-4.022378574,#N/A,#N/A,,,,,
Gregory Soto,PIT,RP,60.5,65,3,4,3.8,1.3,26,54,25,5,64,0,3,0,0,0,,0,10,-4.022378574,#N/A,#N/A,,,,,
Phil Maton,CHC,RP,63,69,4,5,3.68,1.21,26,52,24,7,65,0,3,0,0,0,,0,9,-4.022378574,#N/A,#N/A,,,,,
Justin Sterner,ATH,RP,64.8,66,3,7,4.27,1.26,31,58,24,10,62,0,3,0,0,0,,0,9,-4.022378574,#N/A,#N/A,,,,,
Chris Martin,TEX,RP,52.1,51,3,7,3.47,1.14,20,48,11,6,53,0,3,0,0,0,,0,14,-4.022378574,169,171,,,,,
Matt Svanson,STL,RP,63.6,59,3,6,3.73,1.29,26,58,24,6,58,0,3,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Andrew Kittredge,BAL,RP,59.2,59,4,4,3.74,1.19,25,54,16,8,59,0,3,0,0,0,,0,11,-4.022378574,214,128,,,,,
Yimi Garcia,TOR,RP,53.5,60,3,4,3.74,1.19,22,45,19,7,53,0,3,0,0,0,,0,11,-4.022378574,201,142,,,,,
Aaron Ashby,MIL,RP,77.7,80,4,1,3.74,1.37,32,69,38,6,59,2,4,0,0,0,,0,11,-4.022378574,234,110,,,,,
Jose Alvarado,PHI,RP,58.7,67,4,3,3.48,1.24,23,50,23,6,59,0,3,0,0,0,,0,11,-4.022378574,182,163,,,,,
Cole Sands,MIN,"SP,RP",67,65,4,4,3.94,1.23,29,62,20,8,65,0,3,0,0,0,,0,10,-4.022378574,,346,,,,,
Gabe Speier,SEA,RP,57.9,68,3,0,3.28,1.1,21,46,17,6,63,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Mark Leiter Jr.,ATH,RP,62.5,68,4,6,4.14,1.32,29,58,24,8,64,0,4,0,0,0,,0,10,-4.022378574,266,82,,,,,
Jordan Romano,LAA,RP,57,61,3,5,4.29,1.28,27,51,22,8,58,0,3,0,0,0,,0,12,-4.022378574,94,255,,,,,
Shawn Armstrong,CLE,RP,67,66,3,3,3.8,1.21,28,60,21,8,66,0,3,0,0,0,,0,11,-4.022378574,#N/A,#N/A,,,,,
Orion Kerkering,PHI,RP,62.8,68,4,1,3.48,1.21,24,53,22,6,64,0,3,0,0,0,,0,12,-4.022378574,130,221,,,,,
Kutter Crawford,BOS,SP,73.7,71,4,0,4.25,1.21,35,68,21,11,39,6,4,0,0,0,,0,13,-4.022378574,131,221,,,,,
Alexis Diaz,TEX,RP,27.8,28,1,1,4.64,1.39,14,24,15,4,25,0,2,0,0,0,,0,15,-4.022378574,64,289,,,,,
Tyler Holton,DET,"SP,RP",70.2,58,4,1,3.68,1.16,29,64,18,9,66,0,3,0,0,0,,0,11,-4.022378574,162,192,,,,,
Ben Joyce,LAA,RP,45.8,52,2,10,3.73,1.27,19,37,21,4,45,0,2,0,0,0,,0,13,-4.022378574,95,260,,,,,
Jason Adam,SD,RP,55.6,59,4,1,3.48,1.17,22,45,20,6,56,0,3,0,0,0,,0,14,-4.022378574,121,235,,,,,
Ben Brown,CHC,"SP,RP",66,71,4,0,3.81,1.22,28,58,22,8,42,3,3,0,0,0,,0,10,-4.022378574,192,165,,,,,
Calvin Faucher,MIA,RP,63.4,63,3,6,4.06,1.36,29,59,27,7,64,0,4,0,0,0,,0,10,-4.022378574,156,202,,,,,
Dylan Lee,ATL,RP,64.6,72,3,1,3.64,1.15,26,56,18,9,65,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Jared Koenig,MIL,RP,64.2,65,4,1,3.58,1.23,26,57,22,7,64,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Cole Henry,WSH,RP,61.9,59,2,13,4.78,1.44,33,57,33,9,63,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Christian Scott,NYM,SP,36.2,34,2,0,4.04,1.21,16,34,10,5,23,3,2,0,0,0,,0,10,-4.022378574,#N/A,#N/A,,,,,
A.J. Minter,NYM,RP,48.6,54,3,1,3.45,1.17,19,40,17,5,49,0,2,0,0,0,,0,11,-4.022378574,,363,,,,,
Fernando Cruz,NYY,RP,58.8,80,4,2,3.61,1.23,24,45,27,7,59,0,3,0,0,0,,0,13,-4.022378574,247,117,,,,,
Hogan Harris,ATH,RP,65.7,63,3,10,4.39,1.4,32,61,31,8,57,0,3,0,0,0,,0,11,-4.022378574,#N/A,#N/A,,,,,
Louis Varland,TOR,RP,67,66,4,2,3.73,1.21,28,62,20,8,61,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Bryan Baker,TB,RP,63.2,71,3,2,3.84,1.21,27,53,23,8,64,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Graham Ashcraft,CIN,RP,64.2,57,4,2,3.92,1.31,28,62,22,7,59,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Colin Rea,CHC,"SP,RP",82.5,65,4,0,4.46,1.3,41,83,24,12,37,8,4,0,0,0,,0,11,-4.022378574,258,111,,,,,
Bryan King,HOU,RP,64.3,64,4,1,3.63,1.2,26,58,19,7,66,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Drew Pomeranz,LAA,"SP,RP",55.5,60,3,3,3.88,1.23,24,49,19,7,58,0,3,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Javier Assad,CHC,SP,65.1,53,3,0,4.17,1.34,30,63,25,8,40,4,3,0,0,0,,0,12,-4.022378574,242,130,,,,,
Carmen Mlodzinski,PIT,"SP,RP",76.4,68,4,0,3.83,1.3,32,73,26,8,42,6,4,0,0,0,,0,11,-4.022378574,#N/A,#N/A,,,,,
Jakob Junis,TEX,RP,63.1,55,3,0,4.06,1.21,28,60,16,8,57,0,3,0,0,0,,0,16,-4.022378574,,374,,,,,
Scott Barlow,ATH,RP,55.8,59,3,3,4.27,1.39,26,48,29,6,58,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
A.J. Puk,ARI,RP,34.9,40,2,5,3.41,1.16,13,29,11,4,34,0,1,0,0,0,,0,13,-4.022378574,109,267,,,,,
Drew Anderson,DET,RP,75,82,4,0,3.99,1.27,33,64,31,9,46,5,4,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Keegan Akin,BAL,"SP,RP",65.5,66,4,2,4.03,1.27,29,59,24,9,64,0,3,0,0,0,,0,12,-4.022378574,,378,,,,,
Caleb Thielbar,CHC,RP,62,64,4,1,3.72,1.2,26,54,20,8,66,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Ryan Thompson,ARI,RP,60.9,50,4,4,3.92,1.29,27,60,18,6,61,0,3,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Eduard Bazardo,SEA,RP,66.7,68,3,1,3.68,1.19,27,56,23,8,65,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Justin Topa,MIN,RP,61.9,51,3,4,4.05,1.33,28,63,20,6,61,0,3,0,0,0,,0,11,-4.022378574,#N/A,#N/A,,,,,
Connor Phillips,CIN,RP,56.7,59,3,1,4.53,1.39,29,50,29,8,51,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Eric Lauer,TOR,"SP,RP",61.9,58,3,0,4.29,1.27,29,58,20,10,41,3,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Steven Okert,HOU,RP,62.3,71,3,0,3.85,1.19,27,52,22,9,64,0,3,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Erik Miller,SF,RP,57.7,62,3,2,3.69,1.37,24,48,31,5,59,0,3,0,0,0,,0,9,-4.022378574,#N/A,#N/A,,,,,
Blake Treinen,LAD,RP,53.9,60,4,1,3.88,1.27,23,47,21,7,54,0,3,0,0,0,,0,12,-4.022378574,163,224,,,,,
Brooks Raley,NYM,RP,56.9,57,3,1,3.78,1.22,24,49,20,6,59,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Bennett Sousa,HOU,RP,52.2,57,3,1,3.56,1.19,21,44,18,6,51,0,2,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Tobias Myers,NYM,"SP,RP",66.2,56,4,0,4.14,1.28,30,65,20,9,43,4,3,0,0,0,,0,13,-4.022378574,132,258,,,,,
Elvis Alvarado,ATH,RP,59.3,62,3,3,4.23,1.37,28,52,29,8,56,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Luis Garcia,NYM,RP,57.4,51,3,0,4.01,1.35,26,55,22,6,57,0,3,0,0,0,,0,14,-4.022378574,219,173,,,,,
Kody Funderburk,MIN,RP,61.2,58,3,3,3.87,1.34,26,57,25,5,58,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Mason Montgomery,PIT,RP,61.3,66,3,1,3.96,1.32,27,55,26,7,58,0,3,0,0,0,,0,12,-4.022378574,,394,,,,,
Justin Slaten,BOS,RP,59.9,56,4,1,3.93,1.26,26,56,20,7,57,0,3,0,0,0,,0,14,-4.022378574,194,201,,,,,
Aaron Bummer,ATL,RP,60.2,62,3,0,3.65,1.3,24,56,22,5,58,0,3,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Andrew Nardi,MIA,RP,52.4,64,3,0,3.68,1.23,21,44,21,6,54,0,2,0,0,0,,0,11,-4.022378574,,397,,,,,
Anthony Bender,MIA,RP,58.8,55,3,1,3.92,1.3,26,54,23,6,61,0,3,0,0,0,,0,12,-4.022378574,,398,,,,,
Yennier Cano,BAL,RP,57.7,53,3,1,3.82,1.3,24,54,21,6,60,0,3,0,0,0,,0,13,-4.022378574,178,221,,,,,
Tanner Banks,PHI,RP,61.9,58,3,0,3.95,1.23,27,58,18,8,60,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Braydon Fisher,TOR,RP,51.7,58,3,0,3.8,1.28,22,43,23,6,51,0,2,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Erik Sabrowski,CLE,RP,58.9,72,3,1,3.89,1.36,25,47,34,6,57,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Seth Halvorsen,COL,RP,46.2,42,2,3,4.63,1.47,24,46,21,6,45,0,3,0,0,0,,0,11,-4.022378574,170,233,,,,,
Justin Wrobleski,LAD,RP,58.6,53,3,0,4.28,1.31,28,56,20,8,33,4,3,0,0,0,,0,13,-4.022378574,,404,,,,,
Jose Butto,SF,"SP,RP",63.8,58,3,2,4.06,1.33,29,58,27,7,58,0,3,0,0,0,,0,10,-4.022378574,269,136,,,,,
Angel Zerpa,MIL,RP,59.7,55,3,0,3.66,1.26,24,55,20,6,60,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Gus Varland,WSH,RP,28.7,27,1,0,4.43,1.38,14,28,12,4,28,0,1,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Ryne Stanek,STL,RP,56.8,57,3,3,4.26,1.37,27,51,27,7,60,0,4,0,0,0,,0,15,-4.022378574,,408,,,,,
Tyler Kinley,ATL,RP,62,67,3,1,4.1,1.29,28,54,26,8,63,0,3,0,0,0,,0,17,-4.022378574,,409,,,,,
Chase Silseth,LAA,RP,55.1,54,3,0,4.33,1.38,26,50,26,7,48,0,3,0,0,0,,0,15,-4.022378574,,410,,,,,
PJ Poulin,WSH,RP,57.1,56,3,2,4.04,1.35,26,52,24,6,57,0,3,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Jordan Hicks,CWS,"SP,RP",60.8,55,3,1,4.2,1.39,28,58,27,6,55,0,4,0,0,0,,0,15,-4.022378574,173,239,,,,,
Brant Hurter,DET,"SP,RP",53.5,48,3,0,3.72,1.24,22,50,17,5,45,0,3,0,0,0,,0,13,-4.022378574,255,158,,,,,
Greg Weissert,BOS,RP,64.4,58,4,1,4.17,1.31,30,62,23,8,65,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Chris Flexen,,RP,27.4,21,2,0,4.76,1.44,15,30,10,5,12,1,2,0,0,0,,0,0,-4.022378574,#N/A,#N/A,,,,,
Jordan Wicks,CHC,"SP,RP",30.5,28,1,0,4.08,1.31,14,30,10,4,19,2,2,0,0,0,,0,14,-4.022378574,,416,,,,,
Emerson Hancock,SEA,"SP,RP",68.7,54,4,0,4.43,1.32,34,68,23,10,35,7,3,0,0,0,,0,14,-4.022378574,,417,,,,,
Matt Festa,CLE,RP,58.6,58,3,0,4.06,1.27,26,53,21,7,59,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Pierce Johnson,CIN,RP,60.3,66,3,1,4.25,1.32,28,55,24,9,61,0,3,0,0,0,,0,14,-4.022378574,,419,,,,,
Ken Waldichuk,WSH,SP,11.8,12,1,0,4.56,1.45,6,11,6,2,10,0,1,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Jack Dreyer,LAD,"SP,RP",52.3,51,3,0,3.86,1.24,22,46,19,6,52,0,2,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Cade Gibson,MIA,RP,61,48,3,0,4.19,1.38,28,60,24,6,54,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Tommy Nance,TOR,RP,55.8,54,3,0,3.81,1.26,24,53,18,6,54,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
John Schreiber,KC,RP,62.1,57,3,1,4.11,1.3,28,58,23,7,65,0,3,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Jose Leclerc,,RP,36,40,2,0,4.22,1.32,17,31,17,5,36,0,2,0,0,0,,0,0,-4.022378574,218,207,,,,,
Brusdar Graterol,LAD,RP,41.7,35,3,0,3.44,1.2,16,38,12,4,41,0,1,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Paul Blackburn,NYY,"SP,RP",60.7,51,3,0,4.44,1.32,30,61,19,8,46,3,3,0,0,0,,0,14,-4.022378574,,427,,,,,
Sean Newcomb,CWS,"SP,RP",67.9,64,3,1,4.02,1.35,30,64,28,7,55,2,3,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Kendall Graveman,,RP,36.3,31,2,0,4.55,1.48,18,36,18,4,36,0,2,0,0,0,,0,0,-4.022378574,#N/A,#N/A,,,,,
Hoby Milner,CHC,RP,61.7,52,3,0,3.85,1.27,26,60,18,6,62,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Hector Neris,KC,RP,21.3,22,1,0,4.55,1.38,11,19,10,3,22,0,2,0,0,0,,0,13,-4.022378574,,431,,,,,
Vince Velasquez,CHC,SP,8.7,9,0,0,4.57,1.43,4,8,5,1,8,0,1,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Mason Englert,TB,RP,60.3,56,3,0,4.06,1.25,27,57,18,8,53,0,3,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Colin Holderman,CLE,RP,42.3,40,2,0,4.21,1.36,20,40,18,5,42,0,2,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Trevor Williams,WSH,SP,30.2,24,1,0,4.53,1.37,15,32,9,5,19,2,2,0,0,0,,0,16,-4.022378574,244,191,,,,,
Brendon Little,TOR,RP,53.7,58,3,0,3.55,1.37,21,45,28,4,56,0,3,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Julian Fernandez,WSH,RP,38,38,2,0,4.12,1.28,17,35,14,5,37,0,2,0,0,0,,0,17,-4.022378574,#N/A,#N/A,,,,,
Isaac Mattson,PIT,RP,62.5,60,3,2,4.24,1.36,29,56,28,8,60,0,3,0,0,0,,0,13,-4.022378574,#N/A,#N/A,,,,,
Tim Herrin,CLE,RP,52.4,54,3,0,3.84,1.33,22,45,25,5,55,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Jovani Moran,BOS,RP,48,52,3,0,3.82,1.32,20,42,21,5,46,0,2,0,0,0,,0,16,-4.022378574,#N/A,#N/A,,,,,
Jimmy Herget,COL,RP,74.8,69,3,2,4.45,1.33,37,75,24,11,68,0,4,0,0,0,,0,12,-4.022378574,#N/A,#N/A,,,,,
Brock Burke,CIN,RP,61.8,56,3,0,4.21,1.31,29,60,21,8,63,0,3,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Carlos Lagrange,NYY,SP,10.8,12,1,0,4.38,1.45,5,9,7,1,9,1,1,0,0,0,,0,15,-4.022378574,#N/A,#N/A,,,,,
Nick Mears,KC,RP,60.1,58,3,0,4.15,1.3,28,55,23,7,61,0,3,0,0,0,,0,14,-4.022378574,#N/A,#N/A,,,,,
Sam Hentges,SF,RP,42.2,42,2,0,3.57,1.26,17,38,15,4,42,0,2,0,0,0,,0,11,-4.022378574,#N/A,#N/A,,,,,
Liam Hendriks,MIN,RP,27.4,27,2,3,4.31,1.32,13,25,11,4,28,0,2,0,0,0,,0,13,-4.022378574,111,335,,,,,
