"Park","Team","Runs","HR","1B","2B","3B"
"Coors Field","Colorado Rockies","1.310","1.112","1.239","1.275","2.101"
"Sutter Health Park","Athletics","1.091","1.060","1.081","1.228","0.842"
"Kauffman Stadium","Kansas City Royals","1.064","0.913","1.048","1.158","1.877"
"Target Field","Minnesota Twins","1.064","0.983","1.014","1.217","1.008"
"Comerica Park","Detroit Tigers","1.058","1.048","1.012","1.019","1.191"
"loanDepot park","Miami Marlins","1.058","0.944","1.037","1.084","1.171"
"Fenway Park","Boston Red Sox","1.042","0.852","1.066","1.210","1.161"
"Great American Ball Park","Cincinnati Reds","1.039","1.285","1.006","0.960","0.619"
"Citizens Bank Park","Philadelphia Phillies","1.039","1.162","0.967","0.912","0.971"
"PNC Park","Pittsburgh Pirates","1.023","0.826","1.054","1.183","0.734"
"Chase Field","Arizona Diamondbacks","1.013","0.816","1.063","1.092","1.853"
"Angel Stadium","Los Angeles Angels","1.012","1.045","0.989","0.904","0.978"
"Progressive Field","Cleveland Guardians","1.009","0.911","1.004","1.061","0.760"
"Nationals Park","Washington Nationals","1.003","0.970","1.047","0.971","0.979"
"George M. Steinbrenner Field","Tampa Bay Rays","1.000","1.086","1.074","0.852","0.560"
"Rogers Centre","Toronto Blue Jays","0.990","1.041","0.937","1.000","0.759"
"Truist Park","Atlanta Braves","0.982","0.946","1.029","0.966","1.053"
"Busch Stadium","St. Louis Cardinals","0.979","0.872","1.047","0.980","0.737"
"Daikin Park","Houston Astros","0.976","1.023","0.965","0.989","1.091"
"UNIQLO Field at Dodger Stadium","Los Angeles Dodgers","0.975","1.214","0.927","0.908","0.544"
"American Family Field","Milwaukee Brewers","0.968","1.114","0.900","0.909","1.062"
"Rate Field","Chicago White Sox","0.965","0.993","1.037","0.895","0.648"
"Citi Field","New York Mets","0.964","1.065","0.916","0.900","0.757"
"Oriole Park at Camden Yards","Baltimore Orioles","0.963","1.065","1.034","0.927","1.210"
"Yankee Stadium","New York Yankees","0.960","1.116","0.917","0.886","0.619"
"Globe Life Field","Texas Rangers","0.955","1.055","0.923","1.017","0.799"
"Petco Park","San Diego Padres","0.948","1.070","0.919","0.936","0.776"
"Wrigley Field","Chicago Cubs","0.918","0.922","0.961","0.843","1.193"
"Oracle Park","San Francisco Giants","0.912","0.834","1.057","1.009","1.128"
"T-Mobile Park","Seattle Mariners","0.816","0.824","0.850","0.856","0.545"
""
""